Symbol,Company,Weight,Price,Chg,% Chg,Timestamp
NVDA,Nvidia,7.30%,184.87,2.22,1.21%,2026-03-10T21:30:27.800Z
AAPL,Apple Inc.,6.23%,261.02,1.14,0.44%,2026-03-10T21:30:27.800Z
MSFT,Microsoft,4.90%,405.85,-3.56,-0.87%,2026-03-10T21:30:27.800Z
AMZN,Amazon,3.75%,214.75,1.26,0.59%,2026-03-10T21:30:27.800Z
GOOGL,Alphabet Inc. (Class A),3.13%,307.95,1.59,0.52%,2026-03-10T21:30:27.800Z
GOOG,Alphabet Inc. (Class C),2.92%,307.56,1.56,0.51%,2026-03-10T21:30:27.800Z
META,Meta Platforms,2.69%,654.25,6.86,1.06%,2026-03-10T21:30:27.800Z
AVGO,Broadcom,2.65%,343.64,-2.11,-0.61%,2026-03-10T21:30:27.800Z
TSLA,"Tesla, Inc.",2.44%,400.14,1.46,0.37%,2026-03-10T21:30:27.800Z
BRK.B,Berkshire Hathaway,1.73%,494.02,-3.18,-0.64%,2026-03-10T21:30:27.800Z
WMT,Walmart,1.62%,125.07,0.73,0.59%,2026-03-10T21:30:27.800Z
LLY,Lilly (Eli),1.45%,1000.73,-7.66,-0.76%,2026-03-10T21:30:27.800Z
JPM,JPMorgan Chase,1.27%,289.00,-0.92,-0.32%,2026-03-10T21:30:27.800Z
XOM,ExxonMobil,1.01%,148.50,-1.94,-1.29%,2026-03-10T21:30:27.800Z
V,Visa Inc.,0.98%,314.81,-1.16,-0.37%,2026-03-10T21:30:27.800Z
JNJ,Johnson & Johnson,0.95%,243.78,1.19,0.49%,2026-03-10T21:30:27.800Z
ORCL,Oracle Corporation,0.76%,163.41,11.85,7.82%,2026-03-10T21:30:27.800Z
MA,Mastercard,0.75%,515.39,-2.33,-0.45%,2026-03-10T21:30:27.800Z
MU,Micron Technology,0.74%,405.60,16.28,4.18%,2026-03-10T21:30:27.800Z
COST,Costco,0.72%,998.82,-6.48,-0.65%,2026-03-10T21:30:27.800Z
NFLX,Netflix,0.66%,96.81,-1.51,-1.54%,2026-03-10T21:30:27.800Z
ABBV,AbbVie,0.65%,227.69,0.24,0.11%,2026-03-10T21:30:27.800Z
