Name,Last Price,Volume,+/-,Timestamp
SAP SE,169.60,541.36 m,-1.33,10/03/26 17:39
Siemens Energy AG,158.50,443.01 m,6.55,10/03/26 17:40
Rheinmetall AG,"1,652.00",327.25 m,1.66,10/03/26 17:40
Siemens AG,232.45,325.03 m,5.13,10/03/26 17:40
Allianz SE,353.90,298.92 m,2.82,10/03/26 17:40
Deutsche Bank AG,27.46,292.11 m,3.43,10/03/26 17:35
Deutsche Telekom AG,32.82,230.87 m,0.98,10/03/26 17:37
Infineon Technologies AG,41.32,209.09 m,6.07,10/03/26 17:39
Bayer AG,39.76,180.02 m,5.76,10/03/26 17:41
Deutsche Börse AG,240.80,179.80 m,-0.62,10/03/26 17:38
DHL Aktie (Deutsche Post),46.77,158.49 m,2.77,10/03/26 17:35
Mercedes Benz Group AG (former Daimler),55.05,157.30 m,1.47,10/03/26 17:38
Commerzbank AG,31.72,142.39 m,4.48,10/03/26 17:36
Münchener Rück AG,529.80,140.71 m,1.22,10/03/26 17:39
adidas AG,141.85,138.63 m,1.54,10/03/26 17:38
Volkswagen AG Vz,90.56,135.31 m,3.12,10/03/26 17:41
BMW AG St,80.40,118.79 m,2.08,10/03/26 17:35
BASF SE,45.85,117.74 m,2.37,10/03/26 17:36
Heidelberg Materials AG,175.45,107.95 m,2.57,10/03/26 17:40
RWE AG St,54.06,100.69 m,1.43,10/03/26 17:42
Vonovia SE,25.73,96.57 m,3.04,10/03/26 17:35
E.ON SE,19.12,92.31 m,3.69,10/03/26 17:35
Fresenius SE & Co. KGaA,48.30,66.47 m,2.46,10/03/26 17:35
MTU Aero Engines AG,352.40,52.29 m,3.37,10/03/26 17:35
DAIMLER TRUCK HLDG NA ON (EN),41.50,51.88 m,4.51,10/03/26 17:35
Airbus SE,178.68,51.17 m,1.90,10/03/26 17:41
Merck KGaA,111.00,48.38 m,3.11,10/03/26 17:35
Siemens Healthineers AG,39.98,46.81 m,-0.05,10/03/26 17:35
Beiersdorf AG,80.64,44.00 m,-0.42,10/03/26 17:42
Continental AG,64.10,43.00 m,5.36,10/03/26 17:35
Henkel AG & Co. KGaA Vz,72.98,40.74 m,0.14,10/03/26 17:41
Fresenius Medical Care AG,39.59,34.63 m,-0.43,10/03/26 17:35
Hannover Rück SE,248.40,33.56 m,0.81,10/03/26 17:35
GEA Group Aktiengesellschaft,62.45,31.17 m,0.56,10/03/26 17:38
Symrise AG,71.40,24.81 m,0.28,10/03/26 17:40
Zalando SE (EN),20.41,24.38 m,2.87,10/03/26 17:35
Qiagen NV Registered Shs,37.05,24.03 m,-0.34,10/03/26 17:39
Scout24 SE,72.80,22.46 m,-1.89,10/03/26 17:35
Brenntag SE,45.33,20.34 m,2.09,10/03/26 17:35
Porsche Automobil Holding SE,33.38,18.06 m,2.80,10/03/26 17:35
