Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,233B,-1.33%,+2.49%,-18.60%,2026-03-10T17:00:15.680Z
SIEMENS AG,199B,+5.00%,+2.52%,-2.93%,2026-03-10T17:00:15.680Z
DEUTSCHE TELEKOM AG,182B,+0.98%,+0.61%,+18.66%,2026-03-10T17:00:15.680Z
AIRBUS SE,160B,+1.41%,+1.41%,-10.33%,2026-03-10T17:00:15.680Z
ALLIANZ SE,152B,+2.96%,-0.28%,-9.24%,2026-03-10T17:00:15.680Z
SIEMENS ENERGY AG,147B,+6.02%,+1.48%,+30.98%,2026-03-10T17:00:15.680Z
RHEINMETALL AG,86.43B,+1.72%,+4.62%,+5.89%,2026-03-10T17:00:15.680Z
MUNICH RE,77.16B,+1.22%,+0.99%,-5.76%,2026-03-10T17:00:15.680Z
MERCEDES-BENZ GROUP AG,59.84B,+1.47%,-1.24%,-8.36%,2026-03-10T17:00:15.680Z
DHL GROUP,58.93B,+2.77%,+0.04%,+0.09%,2026-03-10T17:00:15.680Z
INFINEON TECHNOLOGIES AG,58.71B,+6.07%,-0.88%,+9.50%,2026-03-10T17:00:15.680Z
DEUTSCHE BANK AG,58.51B,+3.43%,-1.89%,-17.06%,2026-03-10T17:00:15.680Z
BMW AG,56.23B,+2.08%,-2.57%,-13.68%,2026-03-10T17:00:15.680Z
EON SE,55.87B,+3.72%,+2.38%,+18.57%,2026-03-10T17:00:15.680Z
MERCK KGAA,54.26B,+3.11%,-8.53%,-9.46%,2026-03-10T17:00:15.680Z
SIEMENS HEALTHINEERS AG,51.74B,-0.05%,-0.22%,-11.00%,2026-03-10T17:00:15.680Z
VOLKSWAGEN AG,51.54B,+2.82%,-3.51%,-12.80%,2026-03-10T17:00:15.680Z
DEUTSCHE B&Ouml;RSE AG,51.48B,-0.62%,+1.09%,+7.64%,2026-03-10T17:00:15.680Z
BASF SE,45.62B,+2.37%,+0.92%,+3.20%,2026-03-10T17:00:15.680Z
RWE AG,43.88B,+1.73%,+1.92%,+19.80%,2026-03-10T17:00:15.680Z
BAYER AG,42.81B,+5.41%,+3.43%,+7.07%,2026-03-10T17:00:15.680Z
COMMERZBANK AG,38.23B,+4.48%,+0.19%,-12.13%,2026-03-10T17:00:15.680Z
DAIMLER TRUCK HOLDING AG,35.24B,+4.51%,+4.22%,+11.20%,2026-03-10T17:00:15.680Z
HEIDELBERG MATERIALS AG,34.98B,+2.48%,-2.75%,-21.39%,2026-03-10T17:00:15.680Z
HANNOVER RE,34.44B,+0.81%,+0.49%,-6.69%,2026-03-10T17:00:15.680Z
HENKEL AG & CO. KGAA,32.91B,+0.27%,-5.36%,+5.03%,2026-03-10T17:00:15.680Z
FRESENIUS SE & CO. KGAA,30.78B,+2.46%,+0.19%,-1.39%,2026-03-10T17:00:15.680Z
ADIDAS AG,28.64B,+1.54%,-3.57%,-16.09%,2026-03-10T17:00:15.680Z
VONOVIA SE,24.55B,+3.04%,-3.71%,+4.85%,2026-03-10T17:00:15.680Z
MTU AERO ENGINES AG,21.26B,+3.37%,+1.44%,-0.82%,2026-03-10T17:00:15.680Z
BEIERSDORF,20.51B,-0.54%,-3.73%,-14.03%,2026-03-10T17:00:15.680Z
CONTINENTAL AG,14.11B,+5.36%,-4.70%,-5.68%,2026-03-10T17:00:15.680Z
FRESENIUS MEDICAL CARE AG,12.62B,-0.43%,+0.20%,-2.87%,2026-03-10T17:00:15.680Z
GEA GROUP AG,11.72B,+0.56%,+0.24%,+8.04%,2026-03-10T17:00:15.680Z
PORSCHE AUTOMOBIL HOLDING SE,11.53B,+2.80%,-1.48%,-16.38%,2026-03-10T17:00:15.680Z
SYMRISE AG,11.49B,+0.56%,-2.19%,+3.95%,2026-03-10T17:00:15.680Z
QIAGEN N.V.,8.93B,-0.23%,-9.32%,-8.72%,2026-03-10T17:00:15.680Z
BRENNTAG SE,7.43B,+2.09%,-7.83%,-8.54%,2026-03-10T17:00:15.680Z
SCOUT24 SE,6.08B,-1.89%,+5.51%,-15.15%,2026-03-10T17:00:15.680Z
ZALANDO SE,5.87B,+2.87%,+6.52%,-19.46%,2026-03-10T17:00:15.680Z
