Name,Bid/Ask,Last,% Change,Date/Time,Turnover,Market Cap,YTD%,Timestamp
ACCOR,43.20/44.00,EUR43.44,2.33%,17:39 CET,"42,467,471.57","10,196M",-11.97%,2026-03-10T17:38:18.675Z
AIR LIQUIDE,167.04/168.00,EUR167.36,1.20%,17:35 CET,"156,815,357.03","96,951M",3.20%,2026-03-10T17:38:18.675Z
AIRBUS,176.96/178.50,EUR177.90,1.41%,17:39 CET,"219,123,804.30","140,947M",-11.58%,2026-03-10T17:38:18.675Z
ARCELORMITTAL SA,49.11/49.49,EUR49.46,7.43%,17:39 CET,"165,205,337.98","38,332M",17.78%,2026-03-10T17:38:18.675Z
AXA,38.10/38.50,EUR38.17,1.84%,17:35 CET,"263,741,195.19","79,799M",-8.50%,2026-03-10T17:38:18.675Z
BNP PARIBAS ACT.A,88.28/88.60,EUR88.37,3.56%,17:35 CET,"267,593,135.90","97,348M",5.62%,2026-03-10T17:38:18.675Z
BOUYGUES,49.00/49.20,EUR49.16,2.14%,17:35 CET,"33,388,103.15","18,943M",8.52%,2026-03-10T17:38:18.675Z
BUREAU VERITAS,28.50/29.00,EUR28.52,0.07%,17:36 CET,"31,621,865.09","12,944M",4.86%,2026-03-10T17:38:18.675Z
CAPGEMINI,105.10/105.60,EUR105.35,-2.41%,17:37 CET,"93,675,888.33","17,902M",-24.11%,2026-03-10T17:38:18.675Z
CARREFOUR,15.10/15.35,EUR15.19,0.33%,17:35 CET,"33,044,601.53","11,185M",6.40%,2026-03-10T17:38:18.675Z
CREDIT AGRICOLE,17.07/17.19,EUR17.09,2.98%,17:35 CET,"138,787,704.27","51,698M",-5.47%,2026-03-10T17:38:18.675Z
DANONE,-,EUR69.30,0.14%,17:36 CET,"102,712,214.56","47,221M",-9.87%,2026-03-10T17:38:18.675Z
DASSAULT SYSTEMES,18.02/18.12,EUR18.03,-0.39%,17:35 CET,"48,182,396.29","24,180M",-24.10%,2026-03-10T17:38:18.675Z
EIFFAGE,135.00/139.10,EUR135.45,1.88%,17:35 CET,"29,888,054.55","13,274M",8.62%,2026-03-10T17:38:18.675Z
ENGIE,27.00/27.38,EUR27.04,2.85%,17:39 CET,"191,659,458.75","68,747M",17.31%,2026-03-10T17:38:18.675Z
ESSILORLUXOTTICA,211.60/214.00,EUR213.00,2.26%,17:35 CET,"128,453,016.10","98,681M",-22.82%,2026-03-10T17:38:18.675Z
EUROFINS SCIENT.,63.52/65.00,EUR63.66,0.22%,17:35 CET,"19,264,990.30","11,596M",1.80%,2026-03-10T17:38:18.675Z
EURONEXT,137.90/140.00,EUR139.60,-1.06%,17:35 CET,"48,457,417.60","14,475M",10.23%,2026-03-10T17:38:18.675Z
HERMES INTL,"1,940.00/1,970.00","EUR1,948.00",2.31%,17:35 CET,"167,895,268.75","205,649M",-10.27%,2026-03-10T17:38:18.675Z
KERING,256.00/265.00,EUR262.65,3.10%,17:37 CET,"66,093,671.98","32,416M",-15.37%,2026-03-10T17:38:18.675Z
L'OREAL,361.00/368.50,EUR363.05,0.04%,17:39 CET,"224,967,343.60","193,790M",-1.01%,2026-03-10T17:38:18.675Z
LEGRAND,139.00/142.00,EUR140.15,3.47%,17:35 CET,"77,084,918.73","36,754M",6.44%,2026-03-10T17:38:18.675Z
LVMH,504.20/507.40,EUR504.50,1.37%,17:35 CET,"251,609,480.30","251,083M",-22.84%,2026-03-10T17:38:18.675Z
MICHELIN,30.50/31.25,EUR30.90,2.69%,17:38 CET,"55,502,706.48","21,247M",6.29%,2026-03-10T17:38:18.675Z
ORANGE,17.06/17.25,EUR17.15,0.12%,17:37 CET,"78,531,771.85","45,607M",20.60%,2026-03-10T17:38:18.675Z
PERNOD RICARD,72.40/73.60,EUR72.56,0.30%,17:35 CET,"46,737,273.24","18,305M",-1.04%,2026-03-10T17:38:18.675Z
PUBLICIS GROUPE SA,74.50/75.26,EUR74.78,-1.06%,17:35 CET,"60,426,032.86","19,017M",-14.71%,2026-03-10T17:38:18.675Z
RENAULT,28.15/28.75,EUR28.17,0.39%,17:37 CET,"58,873,587.63","8,330M",-20.78%,2026-03-10T17:38:18.675Z
SAFRAN,319.80/323.10,EUR321.00,2.00%,17:38 CET,"190,436,395.10","134,289M",5.82%,2026-03-10T17:38:18.675Z
SAINT GOBAIN,74.10/74.98,EUR74.12,1.17%,17:38 CET,"170,715,733.75","36,676M",-15.75%,2026-03-10T17:38:18.675Z
SANOFI,76.26/76.89,EUR76.31,0.66%,17:36 CET,"157,700,282.61","93,060M",-8.35%,2026-03-10T17:38:18.675Z
SCHNEIDER ELECTRIC,254.00/257.95,EUR255.05,4.04%,17:37 CET,"261,776,667.15","147,195M",4.36%,2026-03-10T17:38:18.675Z
SOCIETE GENERALE,67.02/68.90,EUR68.40,4.30%,17:35 CET,"221,106,330.29","51,418M",-4.57%,2026-03-10T17:38:18.675Z
STELLANTIS NV,6.06/6.13,EUR6.07,1.49%,17:39 CET,"25,636,508.71","17,614M",-36.41%,2026-03-10T17:38:18.675Z
STMICROELECTRONICS,29.15/29.36,EUR29.22,5.56%,17:38 CET,"109,565,412.41","26,628M",23.35%,2026-03-10T17:38:18.675Z
THALES,250.00/251.00,EUR250.50,1.21%,17:35 CET,"100,049,769.40","51,588M",7.70%,2026-03-10T17:38:18.675Z
TOTALENERGIES,68.72/68.75,EUR68.74,-0.22%,17:37 CET,"392,993,466.88","150,431M",23.93%,2026-03-10T17:38:18.675Z
UNIBAIL-RODAMCO-WE,97.00/97.80,EUR97.60,3.35%,17:35 CET,"41,076,157.11","13,989M",1.81%,2026-03-10T17:38:18.675Z
VEOLIA ENVIRON.,33.10/33.29,EUR33.13,2.25%,17:35 CET,"97,247,592.83","24,573M",9.02%,2026-03-10T17:38:18.675Z
VINCI,130.00/131.50,EUR130.20,2.24%,17:35 CET,"137,613,299.05","75,810M",6.08%,2026-03-10T17:38:18.675Z
