Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
FRES,FRESNILLO PLC ORD USD0.50,GBX,"25,850.23","3,792.00",284.00,8.10%,2026-03-10T17:38:30.517Z
AAL,ANGLO AMERICAN PLC ORD USD0.623855311355311,GBX,"36,837.63","3,332.00",205.00,6.56%,2026-03-10T17:38:30.517Z
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"36,102.07","3,881.00",219.00,5.98%,2026-03-10T17:38:30.517Z
RR.,ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,GBX,"104,313.42","1,311.00",72.50,5.85%,2026-03-10T17:38:30.517Z
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"7,022.83","4,232.00",228.00,5.69%,2026-03-10T17:38:30.517Z
IAG,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),GBX,"16,325.21",376.10,18.50,5.17%,2026-03-10T17:38:30.517Z
BARC,BARCLAYS PLC ORD 25P,GBX,"54,818.41",417.80,20.40,5.13%,2026-03-10T17:38:30.517Z
PSN,PERSIMMON PLC ORD 10P,GBX,"3,924.34","1,279.00",55.50,4.54%,2026-03-10T17:38:30.517Z
SGRO,SEGRO PLC ORD 10P,GBX,"9,810.13",755.20,30.40,4.19%,2026-03-10T17:38:30.517Z
LLOY,LLOYDS BANKING GROUP PLC ORD 10P,GBX,"56,056.43",99.02,3.86,4.06%,2026-03-10T17:38:30.517Z
SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,GBX,"12,360.12","1,188.00",43.50,3.80%,2026-03-10T17:38:30.517Z
SPX,SPIRAX GROUP PLC ORD 26 12/13P,GBX,"5,204.90","7,310.00",255.00,3.61%,2026-03-10T17:38:30.517Z
STAN,STANDARD CHARTERED PLC ORD USD0.50,GBX,"36,627.40","1,685.00",56.50,3.47%,2026-03-10T17:38:30.517Z
LGEN,LEGAL & GENERAL GROUP PLC ORD 2 1/2P,GBX,"14,238.63",258.50,8.60,3.44%,2026-03-10T17:38:30.517Z
PRU,PRUDENTIAL PLC ORD 5P,GBX,"26,966.46","1,101.00",36.50,3.43%,2026-03-10T17:38:30.517Z
CNA,CENTRICA PLC ORD 6 14/81P,GBX,"8,952.20",201.00,6.60,3.40%,2026-03-10T17:38:30.517Z
JD.,JD SPORTS FASHION PLC ORD 0.05P,GBX,"3,620.80",76.00,2.46,3.35%,2026-03-10T17:38:30.517Z
EDV,ENDEAVOUR MINING PLC ORD USD0.01,GBX,"11,177.95","4,788.00",154.00,3.32%,2026-03-10T17:38:30.517Z
WEIR,WEIR GROUP PLC ORD 12.5P,GBX,"7,601.44","3,024.00",96.00,3.28%,2026-03-10T17:38:30.517Z
HLMA,HALMA PLC ORD 10P,GBX,"14,426.52","3,922.00",122.00,3.21%,2026-03-10T17:38:30.517Z
STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"6,736.28","1,320.50",40.00,3.12%,2026-03-10T17:38:30.517Z
GLEN,GLENCORE PLC ORD USD0.01,GBX,"59,474.78",522.60,15.80,3.12%,2026-03-10T17:38:30.517Z
RIO,RIO TINTO PLC ORD 10P,GBX,"83,266.32","6,837.00",202.00,3.04%,2026-03-10T17:38:30.517Z
GAW,GAMES WORKSHOP GROUP PLC ORD 5P,GBX,"5,567.90","17,360.00",510.00,3.03%,2026-03-10T17:38:30.517Z
AAF,AIRTEL AFRICA PLC ORD USD0.50,GBX,"12,291.59",347.20,10.00,2.97%,2026-03-10T17:38:30.517Z
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 2.5P,GBX,"5,407.52",498.50,14.00,2.89%,2026-03-10T17:38:30.517Z
ICG,ICG PLC ORD 26 1/4P,GBX,"4,508.02","1,598.00",42.00,2.70%,2026-03-10T17:38:30.517Z
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"93,688.67","4,421.00",112.00,2.60%,2026-03-10T17:38:30.517Z
NWG,NATWEST GROUP PLC ORD 107.69P,GBX,"45,900.16",590.60,14.80,2.57%,2026-03-10T17:38:30.517Z
IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,USD,"14,446.14",131.55,3.15,2.45%,2026-03-10T17:38:30.517Z
HWDN,HOWDEN JOINERY GROUP PLC ORD 10P,GBX,"4,549.48",864.50,20.50,2.43%,2026-03-10T17:38:30.517Z
