Index,Source,Total,Up,Down,Unchanged,Unknown,InputFile,DateUK,Timestamp
CAC 40,Euronext,40,35,5,0,0,cac40-constituents-260310.json,2026-03-10,2026-03-10T21:37:27.575Z
DAX,MarketScreener,40,33,7,0,0,dax_ms-constituents-260310.json,2026-03-10,2026-03-10T21:37:27.575Z
FTSE 100,LSE,100,87,12,0,1,ftse100-lse-constituents-260310.json,2026-03-10,2026-03-10T21:37:27.575Z
IBEX 35,BME Exchange,35,32,3,0,0,ibex35-constituents-260310.json,2026-03-10,2026-03-10T21:37:27.575Z
S&P 500,Barchart (Download),503,149,354,0,0,sp500-barchart-download-components-260310.json,2026-03-10,2026-03-10T21:37:27.575Z
TSX,TMX Money (Market Summary),2283,1274,861,148,0,tsx-market-summary-2026-03-10.json,2026-03-10,2026-03-10T21:37:27.575Z
