msci_index,last,day,previous_price
USA,38954.488,0.0132,38446.98776154756
CANADA,23536.322,0.0121,23254.937259164115
SWITZERLAND,45512.405,0.0046,45304.00656977902
UNITED KINGDOM,22284.542,0.0055000000000000005,22162.64743908503
JAPAN,22159.684,0.030600000000000002,21501.73103046769
PACIFIC ex JAPAN,19006.214,0.0068000000000000005,18877.84465633691
GERMANY,18206.864,0.009899999999999999,18028.383008218636
NORDIC COUNTRIES,64224.5,0.0067,63797.05970000994
FRANCE,20438.752,0.0067,20302.72375086918
ITALY,4143.979,0.011200000000000002,4098.080498417721
SPAIN,15346.341,0.0137,15138.937555489789
EUROPE,23852.349,0.0104,23606.837885985748
WORLD,28040.99,0.013600000000000001,27664.749408050513
EM (EMERGING MARKETS),1019.713,0.0273,992.6146208507737
WORLD SMALL CAP,1085.294,0.0184,1065.6853888452476
WORLD ENHANCED VALUE,3872.601,0.0317,3753.611514975283
WORLD MOMENTUM,7839.976,0.0405,7534.815953868332
WORLD SECTOR NEUTRAL QUALITY,4444.156,0.01,4400.154455445544
EUROPE SECTOR NEUTRAL QUALITY,2679.628,0.0069,2661.265269639488
USA SECTOR NEUTRAL QUALITY,12410.862,0.0105,12281.902028698663
WORLD MINIMUM VOLATILITY (GBP),6456.662,0.0054,6421.983290232743
