msci_index,last,day,previous_price
USA,38429.74,0.0055000000000000005,38219.53257086026
CANADA,23694.39,-0.0006,23708.61516910146
SWITZERLAND,45884.444,0.0003,45870.682795161454
UNITED KINGDOM,22978.481,-0.0015,23013.000500751124
JAPAN,22031.288,0.0141,21724.96597968642
PACIFIC ex JAPAN,19427.256,-0.0060999999999999995,19546.489586477514
GERMANY,18709.418,0.0079,18562.772100406786
NORDIC COUNTRIES,65467.936,0.006,65077.47117296223
FRANCE,20843.972,0.009300000000000001,20651.909244030518
ITALY,4193.715,0.011200000000000002,4147.265625
SPAIN,15738.966,0.019,15445.501472031405
EUROPE,24201.504,0.008100000000000001,24007.046919948418
WORLD,27843.566,0.0058,27683.00457347385
EM (EMERGING MARKETS),960.377,-0.008100000000000001,968.219578586551
WORLD SMALL CAP,1076.534,0.0054,1070.7519395265567
WORLD ENHANCED VALUE,3867.898,0.0173,3802.121301484321
WORLD MOMENTUM,7519.632,0.0363,7256.230821190775
WORLD SECTOR NEUTRAL QUALITY,4433.447,0.0034000000000000002,4418.424357185569
EUROPE SECTOR NEUTRAL QUALITY,2718.202,0.0031,2709.80161499352
USA SECTOR NEUTRAL QUALITY,12398.872,0.0029,12363.019244191844
WORLD MINIMUM VOLATILITY (GBP),6572.053,-0.0129,6657.940431567217
