System,Date,IndexPrice,ETFPrice,Indicator,Signal,RawWeight,VolScale,FinalWeight,Position,DeltaPosition,NAV,Drawdown
NDX,2026-06-11,28834.28,52608,0.33,2,0,0.55,0,0,0,40.41,-0.023
SPX,2026-06-11,7304.93,5452.75,0.33,5,0.9,0.47,0.42,0.59,0,14.3,-0.019
TSX,2026-06-11,34529.29,22408,,3,0.35,0.41,0.14,0.17,0,3.37,-0.01
