msci_index,last,day,previous_price
USA,37552.064,-0.0168,38193.71847030106
CANADA,22841.102,-0.004699999999999999,22948.962121973273
SWITZERLAND,43651.503,0.0059,43395.46972860125
UNITED KINGDOM,21585.491,0.0028000000000000004,21525.220382927804
JAPAN,21562.512,-0.0166,21926.491763270285
PACIFIC ex JAPAN,18096.546,-0.0009,18112.847562806524
GERMANY,17895.732,-0.0113,18100.26499443714
NORDIC COUNTRIES,63211.599,-0.0014000000000000002,63300.21930702984
FRANCE,20103.224,-0.005699999999999999,20218.46927486674
ITALY,3961.579,-0.0067,3988.300614114568
SPAIN,14270.044,-0.0024,14304.374498797113
EUROPE,23120.48,-0.0019,23164.492535818055
WORLD,27069.778,-0.013600000000000001,27443.00283860503
EM (EMERGING MARKETS),1022.056,-0.0262,1049.5543232696652
WORLD SMALL CAP,1052.943,-0.011000000000000001,1064.654196157735
WORLD ENHANCED VALUE,3774.008,-0.016200000000000003,3836.153689774344
WORLD MOMENTUM,7582.942,-0.018600000000000002,7726.657835744854
WORLD SECTOR NEUTRAL QUALITY,4289.392,-0.0076,4322.241031841999
EUROPE SECTOR NEUTRAL QUALITY,2612.997,0.0025,2606.4807980049877
USA SECTOR NEUTRAL QUALITY,12030.14,-0.009300000000000001,12143.070556172403
WORLD MINIMUM VOLATILITY (GBP),6363.206,-0.0011,6370.213234558014
