System,Date,IndexPrice,ETFPrice,Indicator,Signal,RawWeight,VolScale,FinalWeight,Position,DeltaPosition,NAV,Drawdown
NDX,2026-09-18,29644.17,53834.00,-1.27,5,0.88,1.00,0.88,0.88,0.00,40.41,-0.0230
CAC,2026-09-18,8065.02,6985.50,-0.93,5,1.00,0.39,0.39,0.39,-0.54,2.79,-0.0660
DAX,2026-09-18,25304.06,38337.50,-0.86,5,1.00,0.41,0.41,0.51,0.00,8.89,-0.0460
IBEX,2026-09-18,19513.80,43227.50,-0.51,5,0.92,0.49,0.45,0.69,0.00,3.27,-0.0420
SPX,2026-09-18,7650.50,5677.75,-1.27,7,1.00,1.00,1.00,1.00,0.00,15.69,-0.0230
TSX,2026-09-18,35806.65,23257.00,,5,1.00,0.59,0.59,0.69,0.00,3.48,-0.0060
UKX,2026-09-18,10659.13,1035.40,-0.89,1,0.00,0.54,0.00,0.00,-0.02,11.50,-0.0110
World_2a,2026-09-18,28564.67,10896.00,,1,1.00,1.00,1.00,1.00,0.00,2.82,-0.0140
World_12,2026-09-18,28564.67,10896.00,-1.27,0.5,0.50,1.00,0.50,0.50,0.00,7.60,-0.0070
