System,Date,IndexPrice,ETFPrice,Indicator,Signal,RawWeight,VolScale,FinalWeight,Position,DeltaPosition,NAV,Drawdown
NDX,2026-06-05,28957.60,54251.00,0.30,4,0.46,0.84,0.39,0.46,0.00,40.88,-0.0120
CAC,2026-06-05,8218.24,7150.00,0.04,5,1.00,1.00,1.00,1.00,0.00,2.88,-0.0020
DAX,2026-06-05,24759.05,37797.50,-0.29,5,1.00,1.00,1.00,1.00,0.00,8.66,-0.0220
IBEX,2026-06-05,18344.90,40700.00,-0.10,5,0.92,1.00,0.92,0.92,0.00,3.21,-0.0020
SPX,2026-06-05,7383.74,5585.75,0.30,5,0.90,1.00,0.90,0.59,0.00,14.50,-0.0050
TSX,2026-06-05,34413.45,22560.00,,3,0.35,0.48,0.17,0.17,-0.37,3.38,-0.0080
UKX,2026-06-05,10368.05,1019.80,0.13,3,0.02,1.00,0.02,0.02,0.00,11.93,-0.0020
