Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-06-13,21984.24,8446.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-12.1%
2025-06-16,22151.73,8488.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-11.9%
2025-06-17,22096.14,8477.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-11.9%
2025-06-18,22183.46,8503.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.33,-11.8%
2025-06-19,22154.46,8414.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.31,-12.2%
2025-06-20,22061.86,8454.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-12.0%
2025-06-23,22161.12,8434.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-12.1%
2025-06-24,22237.03,8495.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-11.8%
2025-06-25,22190.52,8492.50,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-11.8%
2025-06-26,22205.05,8481.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.32,-11.9%
2025-06-27,22373.75,8575.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.34,-11.4%
2025-06-30,22492.24,8586.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.34,-11.4%
2025-07-01,22442.62,8587.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.34,-11.3%
2025-07-02,22730.72,8673.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.35,-10.9%
2025-07-03,22794.53,8719.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.36,-10.7%
2025-07-04,22792.38,8681.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.35,-10.9%
2025-07-07,22654.97,8676.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.35,-10.9%
2025-07-08,22780.11,8706.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.35,-10.7%
2025-07-09,22850.60,8726.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.36,-10.6%
2025-07-10,22956.33,8781.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.36,-10.3%
2025-07-11,22943.41,8777.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.36,-10.4%
2025-07-14,23070.68,8817.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.37,-10.2%
2025-07-15,23042.71,8845.00,,0.5,0.50,1.00,0.50,0.50,0.00,2.37,-10.0%
