msci_index,last,day,previous_price
USA,39109.321,0.0042,38945.748854809804
CANADA,23408.041,0.011399999999999999,23144.197152461933
SWITZERLAND,43617.567,0.0106,43160.07025529389
UNITED KINGDOM,21791.024,0.003,21725.846460618148
JAPAN,22267.175,-0.0129,22558.175463478878
PACIFIC ex JAPAN,18526.415,-0.015300000000000001,18814.27338275617
GERMANY,18550.132,0.0049,18459.67957010648
NORDIC COUNTRIES,65138.563,0.0024,64982.60474860336
FRANCE,20359.885,0.013000000000000001,20098.60315893386
ITALY,3973.311,0.005600000000000001,3951.1843675417663
SPAIN,14416.333,0.006999999999999999,14316.120158887788
EUROPE,23433.647,0.0067,23277.68650044701
WORLD,28031.541,0.0033,27939.341174125384
EM (EMERGING MARKETS),1074.575,-0.0166,1092.714053284523
WORLD SMALL CAP,1079.892,0.0038,1075.803945008966
WORLD ENHANCED VALUE,3933.717,-0.0131,3985.9327186138416
WORLD MOMENTUM,7986.62,-0.0064,8038.063607085346
WORLD SECTOR NEUTRAL QUALITY,4369.504,0.0087,4331.817190443145
EUROPE SECTOR NEUTRAL QUALITY,2612.72,0.0085,2590.699058006941
USA SECTOR NEUTRAL QUALITY,12272.601,0.0078000000000000005,12177.615598333003
WORLD MINIMUM VOLATILITY (GBP),6389.939,0.0034999999999999996,6367.652217239661
