msci_index,last,day,previous_price
USA,38981.193,-0.005,39177.078391959796
CANADA,23371.865,0.0029,23304.282580516505
SWITZERLAND,45464.197,-0.0004,45482.38995598239
UNITED KINGDOM,22104.675,0.0004,22095.836665333867
JAPAN,22244.739,-0.0101,22471.703202343673
PACIFIC ex JAPAN,18748.906,0.003,18692.82751744766
GERMANY,18284.598,0.0037,18217.194380791076
NORDIC COUNTRIES,64320.876,0.0017000000000000001,64211.71608265947
FRANCE,20449.59,0.0036,20376.235552012753
ITALY,4161.884,0.0054,4139.530535110403
SPAIN,15300.082,-0.0006,15309.267560536322
EUROPE,23773.508,0.0005,23761.6271864068
WORLD,28028.212,-0.004,28140.775100401606
EM (EMERGING MARKETS),1016.508,-0.0218,1039.161725618483
WORLD SMALL CAP,1078.931,-0.0073,1086.8651153419967
WORLD ENHANCED VALUE,3847.97,-0.006,3871.1971830985913
WORLD MOMENTUM,7810.832,-0.015,7929.778680203046
WORLD SECTOR NEUTRAL QUALITY,4446.975,-0.0012,4452.317781337605
EUROPE SECTOR NEUTRAL QUALITY,2682.068,0.0009,2679.656309321611
USA SECTOR NEUTRAL QUALITY,12430.464,-0.0023,12459.119975944672
WORLD MINIMUM VOLATILITY (GBP),6496.497,0.0043,6468.681668824057
