msci_index,last,day,previous_price
USA,37010.77,0.0072,36746.197378872115
CANADA,22540.904,-0.0039000000000000003,22629.157715088844
SWITZERLAND,42611.662,0.0048,42408.10310509554
UNITED KINGDOM,21428.51,-0.0147,21748.20866741094
JAPAN,20912.818,-0.0046,21009.461523005826
PACIFIC ex JAPAN,18439.636,-0.0013,18463.638730349452
GERMANY,18090.059,0.017,17787.668633235007
NORDIC COUNTRIES,63384.609,0.0060999999999999995,63000.307126528176
FRANCE,19694.969,0.0124,19453.742591860926
ITALY,3850.452,0.021099999999999997,3770.886299089218
SPAIN,13900.862,0.0161,13680.604271233145
EUROPE,22633.606,0.0064,22489.672098569157
WORLD,26658.174,0.005699999999999999,26507.08362334692
EM (EMERGING MARKETS),996.084,-0.0008,996.8815052041633
WORLD SMALL CAP,1041.727,0.009000000000000001,1032.4350842418237
WORLD ENHANCED VALUE,3486.043,0.021400000000000002,3413.004699432152
WORLD MOMENTUM,7300.816,0.0169,7179.482741665847
WORLD SECTOR NEUTRAL QUALITY,4182.138,0.0045000000000000005,4163.40268790443
WORLD MINIMUM VOLATILITY (GBP),6248.962,-0.0004,6251.4625850340135
