msci_index,last,day,previous_price
USA,39089.032,-0.002,39167.36673346693
CANADA,23088.079,-0.0016,23125.079126602566
SWITZERLAND,45642.894,-0.008,46010.98185483871
UNITED KINGDOM,22014.538,-0.0024,22067.5
JAPAN,22582.246,0.0044,22483.319394663482
PACIFIC ex JAPAN,18324.214,-0.0062,18438.53290400483
GERMANY,18312.298,-0.0027,18361.875062669205
NORDIC COUNTRIES,64156.699,-0.0022,64298.154940869914
FRANCE,20508.727,-0.0113,20743.124304642457
ITALY,4088.947,-0.0036,4103.720393416299
SPAIN,15361.574,-0.006500000000000001,15462.077503774533
EUROPE,23865.774,-0.0084,24067.94473578056
WORLD,28100.524,-0.0027,28176.600822219996
EM (EMERGING MARKETS),1067.731,-0.0006,1068.3720232139283
WORLD SMALL CAP,1106.315,-0.0063,1113.3289725269196
WORLD ENHANCED VALUE,3882.196,-0.019299999999999998,3958.5969205669417
WORLD MOMENTUM,8159.358,-0.0342,8448.28950093187
WORLD SECTOR NEUTRAL QUALITY,4464.916,-0.0025,4476.106265664161
EUROPE SECTOR NEUTRAL QUALITY,2701.028,-0.0073,2720.8905006547798
USA SECTOR NEUTRAL QUALITY,12536.189,-0.004699999999999999,12595.38732040591
WORLD MINIMUM VOLATILITY (GBP),6457.982,0.0006,6454.109534279432
