msci_index,last,day,previous_price
USA,40369.632,-0.0014000000000000002,40426.22872020829
CANADA,23968.344,-0.012,24259.457489878543
SWITZERLAND,44326.949,-0.0004,44344.686874749896
UNITED KINGDOM,22701.838,0.0002,22697.29854029194
JAPAN,23362.555,0.0002,23357.88342331534
PACIFIC ex JAPAN,19410.117,-0.0014000000000000002,19437.329260965347
GERMANY,18699.267,-0.0043,18780.021090689967
NORDIC COUNTRIES,65255.374,-0.0026,65425.48024864649
FRANCE,20021.74,-0.0013,20047.802142785622
ITALY,4185.08,0.0014000000000000002,4179.229079288995
SPAIN,15848.498,-0.003,15896.186559679038
EUROPE,23962.128,-0.0014000000000000002,23995.72201081514
WORLD,28923.878,-0.0017000000000000001,28973.13232495242
EM (EMERGING MARKETS),1091.016,0.0079,1082.4645302113306
WORLD SMALL CAP,1085.786,-0.0044,1090.5845721173162
WORLD ENHANCED VALUE,4081.686,-0.0018,4089.046283309958
WORLD MOMENTUM,8039.693,-0.0005,8043.714857428714
WORLD SECTOR NEUTRAL QUALITY,4542.271,0.0009,4538.186632031172
EUROPE SECTOR NEUTRAL QUALITY,2677.421,-0.0019,2682.5177837891993
USA SECTOR NEUTRAL QUALITY,12759.348,0.002,12733.880239520959
WORLD MINIMUM VOLATILITY (GBP),6644.789,0.0014000000000000002,6635.499300978629
